,SMILES,SPLIT
380467,O=S(=O)(Nc1ccc(F)c(Cl)c1)c1cccc(O)c1,train
1902448,Cc1nc(C2(NC(=O)C(C)OC3CCCCCC3)CCCC2)no1,train
1884004,O=C(NCCNC(=O)N1CCc2ccccc2C1)c1ccn[nH]1,train
826752,O=C(NCC1CCC1)c1nc(OCC2CC2)ccc1Cl,test_scaffolds
1098829,CS(=O)c1ccc(C(=O)N(C2CCCCC2)C2CC2)cc1,test
51880,COc1ccccc1-n1nnnc1SCC(=O)Nc1cc(C)on1,train
1299587,CC1Cc2ccccc2N1C(=O)COC(=O)c1cccc2ncccc12,train
1855407,COC1CC2CC1CN2C(=O)Cc1cccc(F)c1,train
531913,O=C(c1cccnc1Oc1ccccc1)N1CCCC1,train
1777360,Cc1ccc(-c2noc(CCNc3nccc(C)n3)n2)cc1,train
606955,CCN(CCO)S(=O)(=O)c1ccc(Cl)cc1F,train
1380773,Cc1ccc(NC(=O)CC(C#N)c2ccncc2)cc1Cl,test_scaffolds
1734650,O=C(N1CCCOC(Cn2cccn2)C1)C1(c2ccc(F)cc2)CC1,train
920700,Cc1sc(=O)n(CC(=O)NCC(C(C)C)N2CCOCC2)c1C,train
971666,CC(Cc1nc2ccccc2s1)NC(=O)Nc1ccccn1,train
851248,COc1ccc(C)cc1CS(=O)(=O)c1ccc(O)cc1,train
794281,O=C1c2ccccc2NC(c2ccsc2)N1c1ccncc1,train
1777747,O=C(c1cnc(C2CC2)nc1)N1CCC(Cc2ccc(F)cc2)CC1,train
234155,Cn1c(=O)c2c(ncn2CCC(=O)NCC2CCCCC2)n(C)c1=O,train
319688,CCc1cc(=O)n2c(n1)SCC2CC(=O)N1CC(C)CC(C)C1,train
1315421,Cc1ccc(C(=O)NC(C(N)=O)c2ccccc2)c(=O)[nH]1,test
1776274,CCc1ncc(C(=O)NCCCn2cc(Cl)cn2)cn1,train
1394612,CCCn1ncc2cc(C(=O)Nc3ccccc3C)c(N)nc21,train
1849506,Cc1ccc(N2CC3(CCN(C(=O)c4cccnc4)C3)C2)nn1,train
235325,Nc1c(Cl)cccc1C(=O)OCC(=O)NCc1ccccc1F,train
1200237,CC1(C(=O)N2CC(=O)Nc3ccccc32)Cc2ccccc2C(=O)O1,train
1920441,O=C(COCC(F)(F)F)N(CC1CCCCC1)C1CC1,train
